customer_index,order_no,order_date,amount,people_count,order_type,table_type
6,YJN202605150042,2026-05-15,602.73,4,家庭聚餐,窗边
6,YJN202604240043,2026-04-24,531.82,6,家庭聚餐,小包间
6,YJN202603120044,2026-03-12,283.64,4,家庭聚餐,小包间
6,YJN202602120045,2026-02-12,354.54,3,家庭聚餐,小包间
7,YJN202605110046,2026-05-11,688.61,4,普通用餐,大包间
7,YJN202604150047,2026-04-15,516.46,8,公司聚餐,大包间
7,YJN202603310048,2026-03-31,473.42,8,公司聚餐,大包间
7,YJN202602150049,2026-02-15,516.46,8,公司聚餐,大包间
7,YJN202601040050,2026-01-04,516.46,8,公司聚餐,大包间
7,YJN202512030051,2025-12-03,473.42,8,公司聚餐,大包间
7,YJN202510310052,2025-10-31,645.57,8,公司聚餐,大包间
7,YJN202510010053,2025-10-01,559.49,8,公司聚餐,大包间
7,YJN202509140054,2025-09-14,645.57,3,家庭聚餐,大厅
7,YJN202508190055,2025-08-19,559.49,3,生日宴,窗边
7,YJN202508090056,2025-08-09,688.61,8,公司聚餐,大包间
7,YJN202507140057,2025-07-14,516.44,8,公司聚餐,大包间
8,YJN202606080058,2026-06-08,504.07,2,朋友聚餐,大厅
8,YJN202605050059,2026-05-05,302.44,6,家庭聚餐,小包间
8,YJN202603280060,2026-03-28,604.88,3,普通用餐,大包间
8,YJN202602180061,2026-02-18,336.05,2,家庭聚餐,大包间
8,YJN202601290062,2026-01-29,268.84,8,家庭聚餐,大包间
8,YJN202601030063,2026-01-03,537.67,2,朋友聚餐,大厅
8,YJN202512060064,2025-12-06,336.05,6,朋友聚餐,小包间
9,YJN202605300065,2026-05-30,322.98,8,公司聚餐,大包间
9,YJN202604200066,2026-04-20,466.53,8,商务宴请,大包间
9,YJN202603140067,2026-03-14,430.65,6,朋友聚餐,小包间
9,YJN202602170068,2026-02-17,538.31,3,家庭聚餐,卡座
9,YJN202601280069,2026-01-28,645.97,8,商务宴请,大包间
9,YJN202601130070,2026-01-13,574.19,4,生日宴,大厅
9,YJN202512150071,2025-12-15,574.19,8,商务宴请,大包间
9,YJN202511270072,2025-11-27,538.31,8,商务宴请,大包间
9,YJN202510210073,2025-10-21,358.87,8,商务宴请,大包间
10,YJN202606220074,2026-06-22,472.9,4,普通用餐,小包间
10,YJN202605170075,2026-05-17,400.14,8,普通用餐,大包间
10,YJN202604220076,2026-04-22,291.01,4,家庭聚餐,窗边
10,YJN202603240077,2026-03-24,436.52,6,家庭聚餐,小包间
10,YJN202602250078,2026-02-25,509.28,8,公司聚餐,大包间
10,YJN202601110079,2026-01-11,400.15,8,公司聚餐,大包间
11,YJN202606130080,2026-06-13,349.31,8,公司聚餐,大包间
11,YJN202605060081,2026-05-06,698.61,8,家庭聚餐,大包间
11,YJN202604190082,2026-04-19,465.74,6,普通用餐,小包间
11,YJN202603130083,2026-03-13,504.55,8,家庭聚餐,大包间
11,YJN202602100084,2026-02-10,659.8,6,家庭聚餐,小包间
11,YJN202601070085,2026-01-07,426.93,6,家庭聚餐,小包间
11,YJN202511250086,2025-11-25,426.93,6,家庭聚餐,小包间
11,YJN202510180087,2025-10-18,388.13,3,家庭聚餐,小包间
12,YJN202605010088,2026-05-01,601.34,8,商务宴请,大包间
12,YJN202603250089,2026-03-25,563.76,2,家庭聚餐,窗边
12,YJN202603090090,2026-03-09,338.26,2,家庭聚餐,大包间
12,YJN202601280091,2026-01-28,676.51,2,家庭聚餐,卡座
12,YJN202512250092,2025-12-25,413.42,5,普通用餐,小包间
12,YJN202511180093,2025-11-18,638.93,5,家庭聚餐,小包间
12,YJN202510050094,2025-10-05,563.76,3,家庭聚餐,大包间
12,YJN202509240095,2025-09-24,338.26,5,家庭聚餐,小包间
12,YJN202508120096,2025-08-12,601.34,5,家庭聚餐,小包间
12,YJN202507060097,2025-07-06,563.76,8,家庭聚餐,大包间
12,YJN202506090098,2025-06-09,300.66,3,生日宴,小包间
13,YJN202606270099,2026-06-27,301.85,8,商务宴请,大包间
13,YJN202606110100,2026-06-11,335.38,5,生日宴,小包间
13,YJN202605200101,2026-05-20,536.62,3,普通用餐,窗边
13,YJN202605120102,2026-05-12,469.54,3,普通用餐,小包间
13,YJN202605030103,2026-05-03,536.61,8,普通用餐,大包间
14,YJN202606050104,2026-06-05,349.41,2,家庭聚餐,大包间
14,YJN202605150105,2026-05-15,310.59,6,家庭聚餐,小包间
14,YJN202605030106,2026-05-03,698.82,2,家庭聚餐,窗边
14,YJN202604190107,2026-04-19,543.53,4,家庭聚餐,窗边
14,YJN202604090108,2026-04-09,660.0,8,公司聚餐,大包间
14,YJN202603040109,2026-03-04,310.59,6,家庭聚餐,小包间
14,YJN202602210110,2026-02-21,427.06,8,家庭聚餐,大包间
15,YJN202606170111,2026-06-17,446.88,8,商务宴请,大包间
15,YJN202605260112,2026-05-26,378.12,8,商务宴请,大包间
15,YJN202604220113,2026-04-22,412.5,8,家庭聚餐,大包间
15,YJN202603260114,2026-03-26,343.75,5,生日宴,小包间
15,YJN202603010115,2026-03-01,618.75,8,商务宴请,大包间
15,YJN202602180116,2026-02-18,550.0,8,商务宴请,大包间
16,YJN202605230117,2026-05-23,630.77,8,生日宴,大包间
16,YJN202604260118,2026-04-26,630.77,5,生日宴,小包间
16,YJN202603250119,2026-03-25,490.6,5,生日宴,小包间
16,YJN202603060120,2026-03-06,560.68,6,生日宴,小包间
16,YJN202601230121,2026-01-23,455.56,3,生日宴,小包间
16,YJN202512160122,2025-12-16,490.6,8,生日宴,大包间
16,YJN202511230123,2025-11-23,490.6,5,生日宴,小包间
16,YJN202511010124,2025-11-01,350.42,6,普通用餐,小包间
17,YJN202606100125,2026-06-10,375.35,3,普通用餐,窗边
17,YJN202605210126,2026-05-21,272.98,8,普通用餐,大包间
17,YJN202604060127,2026-04-06,409.47,8,商务宴请,大包间
17,YJN202602220128,2026-02-22,477.72,8,公司聚餐,大包间
17,YJN202602010129,2026-02-01,614.21,5,家庭聚餐,小包间
17,YJN202512250130,2025-12-25,580.09,4,生日宴,小包间
17,YJN202512040131,2025-12-04,580.09,6,朋友聚餐,小包间
17,YJN202511050132,2025-11-05,272.98,4,朋友聚餐,小包间
17,YJN202510090133,2025-10-09,307.11,5,朋友聚餐,小包间
18,YJN202606290134,2026-06-29,488.1,3,家庭聚餐,窗边
18,YJN202605290135,2026-05-29,292.86,6,家庭聚餐,小包间
18,YJN202605010136,2026-05-01,488.1,8,生日宴,大包间
18,YJN202603280137,2026-03-28,423.02,3,家庭聚餐,窗边
18,YJN202603180138,2026-03-18,357.92,5,家庭聚餐,小包间
19,YJN202607180139,2026-07-18,384.95,8,公司聚餐,大包间
19,YJN202606190140,2026-06-19,249.08,8,商务宴请,大包间
19,YJN202605260141,2026-05-26,339.66,4,生日宴,窗边
19,YJN202604170142,2026-04-17,362.31,6,生日宴,小包间
20,YJN202607250143,2026-07-25,159.6,6,普通用餐,小包间
20,YJN202606130144,2026-06-13,106.4,2,普通用餐,大厅
21,YJN202605010145,2026-05-01,152.16,8,公司聚餐,大包间
21,YJN202604090146,2026-04-09,266.28,8,公司聚餐,大包间
21,YJN202603280147,2026-03-28,190.2,8,公司聚餐,大包间
21,YJN202603110148,2026-03-11,342.36,8,公司聚餐,大包间
22,YJN202607280149,2026-07-28,276.25,6,朋友聚餐,小包间
22,YJN202606190150,2026-06-19,243.75,2,朋友聚餐,大厅
23,YJN202608110151,2026-08-11,158.86,8,公司聚餐,大包间
23,YJN202607300152,2026-07-30,119.14,8,公司聚餐,大包间
24,YJN202608090153,2026-08-09,610.48,6,家庭聚餐,小包间
24,YJN202608030154,2026-08-03,436.06,4,家庭聚餐,小包间
24,YJN202607270155,2026-07-27,392.46,4,普通用餐,大包间
25,YJN202605090156,2026-05-09,199.69,4,家庭聚餐,大厅
25,YJN202604160157,2026-04-16,226.31,8,公司聚餐,大包间
26,YJN202608260158,2026-08-26,335.32,8,商务宴请,大包间
26,YJN202608080159,2026-08-08,377.24,8,公司聚餐,大包间
26,YJN202608040160,2026-08-04,586.81,2,生日宴,卡座
26,YJN202608010161,2026-08-01,586.81,3,家庭聚餐,卡座
26,YJN202607240162,2026-07-24,586.82,8,商务宴请,大包间
27,YJN202608130163,2026-08-13,162,2,家庭聚餐,小包间
28,YJN202608090164,2026-08-09,685.6,6,生日宴,小包间
28,YJN202607300165,2026-07-30,728.45,4,普通用餐,大厅
28,YJN202607150166,2026-07-15,771.29,8,商务宴请,大包间
28,YJN202607020167,2026-07-02,342.8,4,普通用餐,卡座
28,YJN202606170168,2026-06-17,428.5,8,商务宴请,大包间
28,YJN202606100169,2026-06-10,557.05,6,普通用餐,小包间
28,YJN202606050170,2026-06-05,342.8,6,普通用餐,小包间
28,YJN202605220171,2026-05-22,471.35,3,普通用餐,大厅
28,YJN202605180172,2026-05-18,728.45,3,普通用餐,大包间
28,YJN202605120173,2026-05-12,428.5,8,公司聚餐,大包间
28,YJN202604260174,2026-04-26,599.9,5,普通用餐,小包间
28,YJN202604160175,2026-04-16,385.65,2,普通用餐,大厅
28,YJN202604110176,2026-04-11,514.2,4,普通用餐,大包间
28,YJN202603290177,2026-03-29,428.46,4,普通用餐,大厅
29,YJN202608090178,2026-08-09,273.16,6,家庭聚餐,小包间
29,YJN202608010179,2026-08-01,245.84,5,家庭聚餐,小包间
30,YJN202604170180,2026-04-17,299,2,生日宴,小包间
31,YJN202606140181,2026-06-14,315.43,5,家庭聚餐,小包间
31,YJN202605170182,2026-05-17,177.43,2,家庭聚餐,卡座
31,YJN202604150183,2026-04-15,335.14,6,家庭聚餐,小包间
32,YJN202607210184,2026-07-21,326.15,4,普通用餐,小包间
32,YJN202606190185,2026-06-19,203.85,3,普通用餐,大厅
33,YJN202608090186,2026-08-09,214.44,2,家庭聚餐,小包间
33,YJN202607240187,2026-07-24,300.22,3,家庭聚餐,大包间
33,YJN202607120188,2026-07-12,257.34,3,家庭聚餐,大包间
34,YJN202608090189,2026-08-09,195.35,4,生日宴,大包间
34,YJN202608020190,2026-08-02,217.06,6,生日宴,小包间
34,YJN202607210191,2026-07-21,260.47,6,生日宴,小包间
34,YJN202607080192,2026-07-08,173.65,6,生日宴,小包间
34,YJN202606290193,2026-06-29,303.88,8,生日宴,大包间
34,YJN202606110194,2026-06-11,282.18,8,生日宴,大包间
34,YJN202605290195,2026-05-29,369.0,4,生日宴,大厅
34,YJN202605210196,2026-05-21,303.88,8,商务宴请,大包间
34,YJN202605060197,2026-05-06,282.18,8,家庭聚餐,大包间
34,YJN202604230198,2026-04-23,325.59,4,生日宴,窗边
34,YJN202604110199,2026-04-11,282.18,8,商务宴请,大包间
34,YJN202603240200,2026-03-24,303.88,6,生日宴,小包间
34,YJN202603140201,2026-03-14,390.7,5,生日宴,小包间
35,YJN202605250202,2026-05-25,247.5,4,普通用餐,卡座
35,YJN202604210203,2026-04-21,247.5,2,普通用餐,大厅
36,YJN202608210204,2026-08-21,237.55,6,普通用餐,小包间
36,YJN202608070205,2026-08-07,388.72,8,公司聚餐,大包间
36,YJN202607300206,2026-07-30,388.73,5,朋友聚餐,小包间
37,YJN202608260207,2026-08-26,469.11,2,朋友聚餐,大包间
37,YJN202608160208,2026-08-16,416.99,5,朋友聚餐,小包间
37,YJN202607300209,2026-07-30,469.11,2,普通用餐,窗边
37,YJN202607160210,2026-07-16,625.48,4,朋友聚餐,大包间
37,YJN202607010211,2026-07-01,573.36,5,生日宴,小包间
37,YJN202606140212,2026-06-14,833.98,2,朋友聚餐,大包间
37,YJN202606070213,2026-06-07,833.97,8,商务宴请,大包间
38,YJN202607230214,2026-07-23,122,4,普通用餐,大厅
39,YJN202608240215,2026-08-24,265.24,8,公司聚餐,大包间
39,YJN202608110216,2026-08-11,235.76,8,公司聚餐,大包间
40,YJN202608280217,2026-08-28,500.65,4,家庭聚餐,大厅
40,YJN202608200218,2026-08-20,728.22,6,生日宴,小包间
40,YJN202608120219,2026-08-12,455.14,4,生日宴,窗边
40,YJN202607270220,2026-07-27,728.22,4,生日宴,大包间
40,YJN202607120221,2026-07-12,455.14,8,生日宴,大包间
40,YJN202607090222,2026-07-09,591.68,5,生日宴,小包间
40,YJN202606300223,2026-06-30,728.22,2,生日宴,小包间
40,YJN202606130224,2026-06-13,637.19,5,生日宴,小包间
40,YJN202605280225,2026-05-28,682.71,8,公司聚餐,大包间
40,YJN202605130226,2026-05-13,500.65,6,朋友聚餐,小包间
40,YJN202605100227,2026-05-10,637.18,8,生日宴,大包间
41,YJN202607310228,2026-07-31,267,2,普通用餐,窗边
42,YJN202608240229,2026-08-24,286,8,公司聚餐,大包间
43,YJN202608250230,2026-08-25,221,8,朋友聚餐,大包间
44,YJN202608010231,2026-08-01,210.0,3,朋友聚餐,卡座
44,YJN202607170232,2026-07-17,336.0,3,朋友聚餐,大包间
45,YJN202608290233,2026-08-29,553.69,2,家庭聚餐,窗边
45,YJN202608150234,2026-08-15,492.17,4,家庭聚餐,窗边
45,YJN202608120235,2026-08-12,553.69,3,家庭聚餐,大包间
45,YJN202607250236,2026-07-25,307.61,5,家庭聚餐,小包间
45,YJN202607180237,2026-07-18,492.17,2,家庭聚餐,卡座
45,YJN202607090238,2026-07-09,307.61,6,家庭聚餐,小包间
45,YJN202606240239,2026-06-24,461.41,6,朋友聚餐,小包间
45,YJN202606060240,2026-06-06,369.13,8,普通用餐,大包间
45,YJN202605210241,2026-05-21,307.61,3,家庭聚餐,大包间
45,YJN202605030242,2026-05-03,307.61,8,家庭聚餐,大包间
45,YJN202604170243,2026-04-17,399.89,2,朋友聚餐,大包间
45,YJN202603310244,2026-03-31,461.41,2,家庭聚餐,大包间
45,YJN202603130245,2026-03-13,522.93,3,普通用餐,窗边
45,YJN202603050246,2026-03-05,246.07,8,生日宴,大包间
46,YJN202608270247,2026-08-27,562.47,8,朋友聚餐,大包间
46,YJN202608130248,2026-08-13,735.54,3,普通用餐,窗边
46,YJN202608020249,2026-08-02,778.81,4,普通用餐,窗边
46,YJN202607250250,2026-07-25,605.74,8,公司聚餐,大包间
46,YJN202607120251,2026-07-12,432.67,3,普通用餐,卡座
46,YJN202606300252,2026-06-30,735.54,8,公司聚餐,大包间
46,YJN202606180253,2026-06-18,432.67,5,普通用餐,小包间
46,YJN202606070254,2026-06-07,475.94,2,普通用餐,大包间
46,YJN202606010255,2026-06-01,475.94,4,普通用餐,小包间
46,YJN202605250256,2026-05-25,346.14,5,普通用餐,小包间
46,YJN202605090257,2026-05-09,735.54,2,普通用餐,大厅
47,YJN202608240258,2026-08-24,341.3,8,商务宴请,大包间
47,YJN202608130259,2026-08-13,409.56,3,朋友聚餐,大包间
47,YJN202607310260,2026-07-31,409.56,5,朋友聚餐,小包间
47,YJN202607190261,2026-07-19,295.79,8,朋友聚餐,大包间
47,YJN202607060262,2026-07-06,204.78,8,公司聚餐,大包间
47,YJN202606290263,2026-06-29,364.05,4,朋友聚餐,大厅
47,YJN202606110264,2026-06-11,318.55,2,朋友聚餐,小包间
47,YJN202605290265,2026-05-29,250.29,8,公司聚餐,大包间
47,YJN202605250266,2026-05-25,318.55,5,朋友聚餐,小包间
47,YJN202605210267,2026-05-21,250.29,8,公司聚餐,大包间
47,YJN202605150268,2026-05-15,341.28,5,家庭聚餐,小包间
48,YJN202608040269,2026-08-04,706.5,3,朋友聚餐,卡座
48,YJN202607260270,2026-07-26,353.25,2,普通用餐,小包间
48,YJN202607080271,2026-07-08,353.25,8,商务宴请,大包间
48,YJN202607030272,2026-07-03,314.0,8,商务宴请,大包间
49,YJN202607180273,2026-07-18,162.0,8,公司聚餐,大包间
49,YJN202606160274,2026-06-16,198.0,4,普通用餐,小包间
50,YJN202604170275,2026-04-17,386.35,6,家庭聚餐,小包间
50,YJN202603310276,2026-03-31,321.96,8,商务宴请,大包间
50,YJN202603190277,2026-03-19,450.74,3,家庭聚餐,窗边
50,YJN202602060278,2026-02-06,321.95,8,生日宴,大包间
51,YJN202608170279,2026-08-17,700.37,8,公司聚餐,大包间
51,YJN202608030280,2026-08-03,513.61,8,公司聚餐,大包间
51,YJN202607180281,2026-07-18,420.22,8,公司聚餐,大包间
51,YJN202607050282,2026-07-05,420.22,8,公司聚餐,大包间
51,YJN202606280283,2026-06-28,466.91,3,朋友聚餐,卡座
51,YJN202606180284,2026-06-18,420.22,8,家庭聚餐,大包间
51,YJN202606070285,2026-06-07,793.76,8,公司聚餐,大包间
51,YJN202606020286,2026-06-02,653.69,5,家庭聚餐,小包间
52,YJN202608290287,2026-08-29,485.28,8,公司聚餐,大包间
52,YJN202608130288,2026-08-13,311.97,5,生日宴,小包间
52,YJN202607300289,2026-07-30,381.29,8,公司聚餐,大包间
52,YJN202607220290,2026-07-22,519.95,8,公司聚餐,大包间
52,YJN202607040291,2026-07-04,623.93,6,生日宴,小包间
52,YJN202606290292,2026-06-29,589.27,8,公司聚餐,大包间
52,YJN202606260293,2026-06-26,311.97,8,公司聚餐,大包间
52,YJN202606210294,2026-06-21,554.61,8,公司聚餐,大包间
52,YJN202606180295,2026-06-18,277.3,6,家庭聚餐,小包间
52,YJN202606070296,2026-06-07,450.62,8,公司聚餐,大包间
52,YJN202605290297,2026-05-29,450.62,8,公司聚餐,大包间
52,YJN202605250298,2026-05-25,346.63,8,公司聚餐,大包间
52,YJN202605210299,2026-05-21,485.28,4,普通用餐,大包间
52,YJN202605060300,2026-05-06,589.28,2,家庭聚餐,窗边
53,YJN202608090301,2026-08-09,198.0,6,家庭聚餐,小包间
53,YJN202608030302,2026-08-03,308.0,8,家庭聚餐,大包间
54,YJN202605120303,2026-05-12,455.79,8,公司聚餐,大包间
54,YJN202604270304,2026-04-27,253.21,8,公司聚餐,大包间
55,YJN202608090305,2026-08-09,238.32,8,商务宴请,大包间
55,YJN202607260306,2026-07-26,297.9,8,商务宴请,大包间
55,YJN202607190307,2026-07-19,446.85,8,生日宴,大包间
55,YJN202607080308,2026-07-08,387.27,8,商务宴请,大包间
55,YJN202607020309,2026-07-02,476.64,8,商务宴请,大包间
55,YJN202606290310,2026-06-29,476.64,8,商务宴请,大包间
55,YJN202606160311,2026-06-16,357.48,8,商务宴请,大包间
55,YJN202605310312,2026-05-31,297.9,8,商务宴请,大包间
56,YJN202607270313,2026-07-27,439.77,3,普通用餐,卡座
56,YJN202607130314,2026-07-13,338.29,2,家庭聚餐,窗边
56,YJN202605300315,2026-05-30,405.94,4,家庭聚餐,大包间
57,YJN202607270316,2026-07-27,419.32,8,家庭聚餐,大包间
57,YJN202606230317,2026-06-23,419.32,2,家庭聚餐,卡座
57,YJN202606010318,2026-06-01,335.45,6,家庭聚餐,小包间
57,YJN202605040319,2026-05-04,670.91,3,普通用餐,窗边
58,YJN202607120320,2026-07-12,182.67,5,朋友聚餐,小包间
58,YJN202606090321,2026-06-09,91.33,4,朋友聚餐,大厅
59,YJN202605120322,2026-05-12,250.84,4,家庭聚餐,卡座
59,YJN202605040323,2026-05-04,235.16,8,公司聚餐,大包间
60,YJN202607280324,2026-07-28,321.18,8,商务宴请,大包间
60,YJN202606210325,2026-06-21,207.82,8,家庭聚餐,大包间
61,YJN202608240326,2026-08-24,636.54,6,生日宴,小包间
61,YJN202608210327,2026-08-21,437.62,8,生日宴,大包间
61,YJN202608050328,2026-08-05,397.84,2,朋友聚餐,大包间
62,YJN202607300329,2026-07-30,211,8,公司聚餐,大包间
63,YJN202608090330,2026-08-09,565.77,5,生日宴,小包间
63,YJN202608050331,2026-08-05,424.33,5,朋友聚餐,小包间
63,YJN202607290332,2026-07-29,518.62,6,普通用餐,小包间
63,YJN202607180333,2026-07-18,754.36,8,商务宴请,大包间
63,YJN202607130334,2026-07-13,518.62,8,商务宴请,大包间
63,YJN202607090335,2026-07-09,660.07,6,普通用餐,小包间
63,YJN202606290336,2026-06-29,707.23,8,商务宴请,大包间
64,YJN202608230337,2026-08-23,142.19,4,家庭聚餐,小包间
64,YJN202608160338,2026-08-16,182.81,8,商务宴请,大包间
65,YJN202608210339,2026-08-21,700.01,8,商务宴请,大包间
65,YJN202608150340,2026-08-15,700.01,8,商务宴请,大包间
65,YJN202608080341,2026-08-08,807.7,8,商务宴请,大包间
65,YJN202608020342,2026-08-02,646.16,8,商务宴请,大包间
65,YJN202607250343,2026-07-25,592.32,8,商务宴请,大包间
65,YJN202607080344,2026-07-08,484.62,8,商务宴请,大包间
65,YJN202606210345,2026-06-21,592.32,8,商务宴请,大包间
65,YJN202606080346,2026-06-08,538.47,8,公司聚餐,大包间
65,YJN202605230347,2026-05-23,915.39,3,普通用餐,小包间
66,YJN202608290348,2026-08-29,500.51,2,朋友聚餐,窗边
66,YJN202608170349,2026-08-17,450.45,2,朋友聚餐,窗边
66,YJN202608060350,2026-08-06,550.56,5,朋友聚餐,小包间
66,YJN202607290351,2026-07-29,650.66,8,朋友聚餐,大包间
66,YJN202607260352,2026-07-26,700.71,6,普通用餐,小包间
66,YJN202607110353,2026-07-11,800.81,2,朋友聚餐,大厅
66,YJN202606240354,2026-06-24,400.4,8,家庭聚餐,大包间
66,YJN202606140355,2026-06-14,900.9,3,朋友聚餐,大厅
67,YJN202606140356,2026-06-14,273.0,3,普通用餐,卡座
67,YJN202606040357,2026-06-04,189.0,8,普通用餐,大包间
68,YJN202607190358,2026-07-19,330,2,朋友聚餐,大包间
69,YJN202604180359,2026-04-18,285,4,家庭聚餐,窗边
70,YJN202608190360,2026-08-19,275.91,3,普通用餐,大厅
70,YJN202608080361,2026-08-08,331.09,3,生日宴,小包间
71,YJN202607250362,2026-07-25,163.45,8,公司聚餐,大包间
71,YJN202606120363,2026-06-12,152.55,8,公司聚餐,大包间
72,YJN202607120364,2026-07-12,264.25,8,商务宴请,大包间
72,YJN202606080365,2026-06-08,188.75,3,生日宴,卡座
73,YJN202604160366,2026-04-16,236.48,4,生日宴,大包间
73,YJN202603050367,2026-03-05,413.84,8,商务宴请,大包间
73,YJN202601250368,2026-01-25,384.28,8,商务宴请,大包间
73,YJN202512260369,2025-12-26,443.4,8,商务宴请,大包间
74,YJN202607190370,2026-07-19,380.8,8,商务宴请,大包间
74,YJN202607080371,2026-07-08,571.2,8,商务宴请,大包间
75,YJN202608110372,2026-08-11,572.54,8,朋友聚餐,大包间
75,YJN202608030373,2026-08-03,370.46,6,朋友聚餐,小包间
76,YJN202608140374,2026-08-14,222,8,公司聚餐,大包间
77,YJN202608290375,2026-08-29,315.79,8,公司聚餐,大包间
77,YJN202608260376,2026-08-26,434.21,8,公司聚餐,大包间
77,YJN202608120377,2026-08-12,671.06,8,公司聚餐,大包间
77,YJN202608050378,2026-08-05,552.64,8,公司聚餐,大包间
77,YJN202607270379,2026-07-27,513.16,3,家庭聚餐,小包间
77,YJN202607090380,2026-07-09,394.74,2,朋友聚餐,大厅
77,YJN202606270381,2026-06-27,394.74,8,公司聚餐,大包间
77,YJN202606190382,2026-06-19,434.21,2,家庭聚餐,卡座
77,YJN202606010383,2026-06-01,671.06,4,普通用餐,大包间
77,YJN202605280384,2026-05-28,513.16,8,公司聚餐,大包间
77,YJN202605230385,2026-05-23,513.16,8,公司聚餐,大包间
77,YJN202605190386,2026-05-19,671.07,8,公司聚餐,大包间
78,YJN202607220387,2026-07-22,212.08,8,家庭聚餐,大包间
78,YJN202606130388,2026-06-13,296.92,8,公司聚餐,大包间
79,YJN202608120389,2026-08-12,194.37,5,家庭聚餐,小包间
79,YJN202608020390,2026-08-02,148.63,8,朋友聚餐,大包间
80,YJN202608090391,2026-08-09,295,3,家庭聚餐,大厅
81,YJN202606080392,2026-06-08,275.29,6,朋友聚餐,小包间
81,YJN202604250393,2026-04-25,226.71,6,朋友聚餐,小包间
82,YJN202608280394,2026-08-28,370.05,5,普通用餐,小包间
82,YJN202608230395,2026-08-23,605.53,5,家庭聚餐,小包间
82,YJN202608100396,2026-08-10,571.89,5,普通用餐,小包间
82,YJN202607240397,2026-07-24,302.77,5,普通用餐,小包间
82,YJN202607210398,2026-07-21,504.61,5,普通用餐,小包间
82,YJN202607100399,2026-07-10,336.41,8,生日宴,大包间
82,YJN202607010400,2026-07-01,437.33,3,家庭聚餐,大包间
82,YJN202606210401,2026-06-21,302.77,2,普通用餐,小包间
82,YJN202606160402,2026-06-16,370.05,4,普通用餐,大厅
82,YJN202606020403,2026-06-02,437.33,3,普通用餐,大包间
82,YJN202605220404,2026-05-22,437.33,2,普通用餐,卡座
82,YJN202605160405,2026-05-16,336.41,4,普通用餐,卡座
82,YJN202605130406,2026-05-13,605.52,8,商务宴请,大包间
83,YJN202608050407,2026-08-05,162.55,8,商务宴请,大包间
83,YJN202607280408,2026-07-28,284.45,8,商务宴请,大包间
84,YJN202607190409,2026-07-19,221.18,8,公司聚餐,大包间
84,YJN202606290410,2026-06-29,319.48,4,生日宴,小包间
84,YJN202605260411,2026-05-26,270.34,8,商务宴请,大包间
85,YJN202607220412,2026-07-22,207,5,普通用餐,小包间
86,YJN202604160413,2026-04-16,280.79,8,商务宴请,大包间
